# Time-averaged data for fix write_all_momentum
# TimeStep Number-of-rows
# Row c_all_momentum[*]
0 3
1 3.10862e-15
2 1.06581e-14
3 7.10543e-15
2 3
1 -1.10623e-12
2 -8.25473e-12
3 -3.09086e-13
4 3
1 -2.27671e-11
2 -1.47535e-10
3 -5.45164e-12
6 3
1 -1.40699e-10
2 -8.05995e-10
3 -3.38165e-11
8 3
1 -5.14792e-10
2 -2.60861e-09
3 -7.79821e-11
10 3
1 -1.36757e-09
2 -6.2198e-09
3 -3.26565e-11
12 3
1 -2.90642e-09
2 -1.21655e-08
3 3.00796e-10
14 3
1 -5.29708e-09
2 -2.07742e-08
3 1.18545e-09
16 3
1 -8.67168e-09
2 -3.2201e-08
3 2.91481e-09
18 3
1 -1.31458e-08
2 -4.64693e-08
3 5.78831e-09
20 3
1 -1.8855e-08
2 -6.35225e-08
3 1.00925e-08
22 3
1 -2.59533e-08
2 -8.33043e-08
3 1.60705e-08
24 3
1 -3.46009e-08
2 -1.05827e-07
3 2.39086e-08
26 3
1 -4.49721e-08
2 -1.31225e-07
3 3.3779e-08
28 3
1 -5.72335e-08
2 -1.59774e-07
3 4.59015e-08
30 3
1 -7.15267e-08
2 -1.9194e-07
3 6.05864e-08
32 3
1 -8.79741e-08
2 -2.28451e-07
3 7.82609e-08
34 3
1 -1.06748e-07
2 -2.70056e-07
3 9.94253e-08
36 3
1 -1.28157e-07
2 -3.17233e-07
3 1.24256e-07
38 3
1 -1.52561e-07
2 -3.70259e-07
3 1.52597e-07
40 3
1 -1.80002e-07
2 -4.29194e-07
3 1.84452e-07
42 3
1 -2.10307e-07
2 -4.93597e-07
3 2.20021e-07
44 3
1 -2.43336e-07
2 -5.62374e-07
3 2.59189e-07
46 3
1 -2.7883e-07
2 -6.34305e-07
3 3.01565e-07
48 3
1 -3.16414e-07
2 -7.08459e-07
3 3.46889e-07
50 3
1 -3.5571e-07
2 -7.84248e-07
3 3.94902e-07
52 3
1 -3.96388e-07
2 -8.6131e-07
3 4.45321e-07
54 3
1 -4.38146e-07
2 -9.39367e-07
3 4.97901e-07
56 3
1 -4.80651e-07
2 -1.01809e-06
3 5.52361e-07
58 3
1 -5.23569e-07
2 -1.09704e-06
3 6.08361e-07
60 3
1 -5.66621e-07
2 -1.17566e-06
3 6.65547e-07
62 3
1 -6.09584e-07
2 -1.25335e-06
3 7.2361e-07
64 3
1 -6.5229e-07
2 -1.32955e-06
3 7.82329e-07
66 3
1 -6.94624e-07
2 -1.40388e-06
3 8.41592e-07
68 3
1 -7.3652e-07
2 -1.47618e-06
3 9.01286e-07
70 3
1 -7.77944e-07
2 -1.54642e-06
3 9.61106e-07
72 3
