# Time-averaged data for fix write_all_momentum
# TimeStep Number-of-rows
# Row c_all_momentum[*]
0 3
1 3.10862e-15
2 1.06581e-14
3 7.10543e-15
1 3
1 -4.70735e-14
2 -5.18696e-13
3 -2.13163e-14
2 3
1 -1.10623e-12
2 -8.25473e-12
3 -3.09086e-13
3 3
1 -6.44906e-12
2 -4.4226e-11
3 -1.50635e-12
4 3
1 -2.27671e-11
2 -1.47535e-10
3 -5.45164e-12
5 3
1 -6.18154e-11
2 -3.76545e-10
3 -1.54277e-11
6 3
1 -1.40699e-10
2 -8.05995e-10
3 -3.38165e-11
7 3
1 -2.82399e-10
2 -1.52095e-09
3 -5.79572e-11
8 3
1 -5.14792e-10
2 -2.60861e-09
3 -7.79821e-11
9 3
1 -8.67308e-10
2 -4.1508e-09
3 -7.70495e-11
10 3
1 -1.36757e-09
2 -6.2198e-09
3 -3.26565e-11
11 3
1 -2.04008e-09
2 -8.87569e-09
3 8.27391e-11
12 3
1 -2.90642e-09
2 -1.21655e-08
3 3.00796e-10
13 3
1 -3.98623e-09
2 -1.61238e-08
3 6.56192e-10
14 3
1 -5.29708e-09
2 -2.07742e-08
3 1.18545e-09
15 3
1 -6.85432e-09
2 -2.61312e-08
3 1.92583e-09
16 3
1 -8.67168e-09
2 -3.2201e-08
3 2.91481e-09
17 3
1 -1.07635e-08
2 -3.89826e-08
3 4.19002e-09
18 3
1 -1.31458e-08
2 -4.64693e-08
3 5.78831e-09
19 3
1 -1.58365e-08
2 -5.46522e-08
3 7.74495e-09
20 3
1 -1.8855e-08
2 -6.35225e-08
3 1.00925e-08
21 3
1 -2.22208e-08
2 -7.3074e-08
3 1.28596e-08
22 3
1 -2.59533e-08
2 -8.33043e-08
3 1.60705e-08
23 3
1 -3.00728e-08
2 -9.42178e-08
3 1.97466e-08
24 3
1 -3.46009e-08
2 -1.05827e-07
3 2.39086e-08
25 3
1 -3.95601e-08
2 -1.18153e-07
3 2.85778e-08
26 3
1 -4.49721e-08
2 -1.31225e-07
3 3.3779e-08
27 3
1 -5.0857e-08
2 -1.45082e-07
3 3.95416e-08
28 3
1 -5.72335e-08
2 -1.59774e-07
3 4.59015e-08
29 3
1 -6.41184e-08
2 -1.75365e-07
3 5.29004e-08
30 3
1 -7.15267e-08
2 -1.9194e-07
3 6.05864e-08
31 3
1 -7.94726e-08
2 -2.09601e-07
3 6.90175e-08
32 3
1 -8.79741e-08
2 -2.28451e-07
3 7.82609e-08
33 3
1 -9.70551e-08
2 -2.48581e-07
3 8.83827e-08
34 3
1 -1.06748e-07
2 -2.70056e-07
3 9.94253e-08
35 3
1 -1.17097e-07
2 -2.92927e-07
3 1.11391e-07
36 3
