# Time-averaged data for fix write_all_momentum
# TimeStep Number-of-rows
# Row c_all_momentum[*]
0 3
1 -1.46549e-14
2 -7.10543e-15
3 -6.39488e-14
2 3
1 -3.10862e-15
2 -2.22045e-14
3 8.88178e-15
4 3
1 -8.88178e-16
2 -2.66454e-14
3 -2.13163e-14
6 3
1 -2.39808e-14
2 7.10543e-15
3 -3.55271e-14
8 3
1 2.04281e-14
2 -3.73035e-14
3 -3.37508e-14
10 3
1 8.88178e-16
2 2.13163e-14
3 3.55271e-15
12 3
1 1.86517e-14
2 -2.84217e-14
3 -2.13163e-14
14 3
1 4.44089e-16
2 -1.15463e-14
3 -3.55271e-14
16 3
1 -4.88498e-15
2 -1.06581e-14
3 -3.73035e-14
18 3
1 -2.04281e-14
2 -2.84217e-14
3 -8.34888e-14
20 3
1 -1.42109e-14
2 -4.08562e-14
3 3.01981e-14
22 3
1 -3.10862e-15
2 -4.9738e-14
3 -1.77636e-14
24 3
1 -9.32587e-15
2 -3.01981e-14
3 -2.30926e-14
26 3
1 2.08722e-14
2 7.10543e-15
3 -1.24345e-14
28 3
1 2.66454e-14
2 -3.73035e-14
3 -2.4869e-14
30 3
1 1.06581e-14
2 -2.84217e-14
3 -3.01981e-14
32 3
1 -1.77636e-15
2 -2.93099e-14
3 -1.77636e-14
34 3
1 -1.95399e-14
2 -3.4639e-14
3 -2.4869e-14
36 3
1 -3.68594e-14
2 -2.4869e-14
3 -5.68434e-14
38 3
1 3.55271e-15
2 1.77636e-15
3 -5.32907e-14
40 3
1 -2.79776e-14
2 -3.01981e-14
3 -3.37508e-14
42 3
1 -4.52971e-14
2 -4.35207e-14
3 3.55271e-15
44 3
1 -1.15463e-14
2 -3.10862e-14
3 -3.55271e-14
46 3
1 -2.39808e-14
2 -6.30607e-14
3 -2.84217e-14
48 3
1 -1.02141e-14
2 -5.15143e-14
3 -1.77636e-14
50 3
1 6.66134e-15
2 -2.4869e-14
3 3.19744e-14
52 3
1 -1.33227e-14
2 -2.13163e-14
3 -2.84217e-14
54 3
1 -1.68754e-14
2 -6.75016e-14
3 -3.55271e-14
56 3
1 1.28786e-14
2 -7.10543e-14
3 -4.44089e-14
58 3
1 -3.55271e-15
2 -6.75016e-14
3 -4.26326e-14
60 3
1 -5.77316e-15
2 -3.28626e-14
3 -8.88178e-15
62 3
1 4.44089e-15
2 -3.19744e-14
3 -5.68434e-14
64 3
1 1.02141e-14
2 -3.81917e-14
3 -6.39488e-14
66 3
1 4.30767e-14
2 -5.32907e-14
3 -5.32907e-14
68 3
1 -2.26485e-14
2 -6.12843e-14
3 -3.90799e-14
70 3
1 -5.32907e-15
2 -6.03961e-14
3 -4.61853e-14
72 3
1 -2.66454e-14
2 -7.4607e-14
3 -5.86198e-14
74 3
1 -1.82077e-14
2 -2.84217e-14
3 -4.79616e-14
76 3
1 -8.43769e-15
2 -2.13163e-14
3 -5.32907e-14
78 3
1 -2.79776e-14
2 8.88178e-16
3 -2.84217e-14
80 3
1 -1.42109e-14
2 -4.9738e-14
3 -1.06581e-14
82 3
1 1.28786e-14
2 -5.9508e-14
3 -3.01981e-14
84 3
1 -1.24345e-14
2 -4.44089e-15
3 -1.77636e-15
86 3
1 -1.73195e-14
2 -4.08562e-14
3 -5.15143e-14
88 3
1 -1.37668e-14
2 -3.01981e-14
3 -4.61853e-14
90 3
1 -4.75175e-14
2 -1.77636e-14
3 -6.03961e-14
92 3
1 8.88178e-16
2 -2.13163e-14
3 -6.21725e-14
94 3
1 -1.33227e-14
2 -3.19744e-14
3 -4.61853e-14
96 3
1 -3.5083e-14
2 -4.52971e-14
3 -4.61853e-14
98 3
1 -1.68754e-14
2 -4.9738e-14
3 -8.34888e-14
100 3
1 -2.39808e-14
2 -1.42109e-14
3 -5.50671e-14
102 3
1 -2.88658e-14
2 -6.21725e-15
3 -4.79616e-14
104 3
1 -4.88498e-15
2 -5.50671e-14
3 -2.66454e-14
106 3
1 -3.28626e-14
2 -5.68434e-14
3 -6.21725e-14
108 3
1 -3.59712e-14
2 -3.90799e-14
3 -3.90799e-14
110 3
1 -5.41789e-14
2 -5.86198e-14
3 -5.68434e-14
112 3
1 3.55271e-15
2 -5.32907e-14
3 -6.21725e-14
114 3
1 -4.44089e-15
2 -7.4607e-14
3 -1.77636e-14
116 3
1 -2.22045e-14
2 6.21725e-15
3 -8.88178e-15
118 3
1 -2.04281e-14
2 -4.70735e-14
3 -6.92779e-14
120 3
1 -4.35207e-14
2 -3.73035e-14
3 -6.39488e-14
122 3
1 -1.59872e-14
2 -5.06262e-14
3 -5.32907e-14
124 3
1 -3.55271e-15
2 -6.30607e-14
3 -4.9738e-14
126 3
1 -3.68594e-14
2 -2.13163e-14
3 -6.03961e-14
128 3
1 5.32907e-15
2 -3.81917e-14
3 -4.44089e-14
130 3
1 -1.73195e-14
2 7.10543e-15
3 -9.05942e-14
132 3
1 -2.66454e-14
2 -3.73035e-14
3 -3.55271e-14
134 3
1 -3.59712e-14
2 -5.50671e-14
3 -3.19744e-14
136 3
1 -3.68594e-14
2 -3.9968e-14
3 -8.70415e-14
138 3
1 1.15463e-14
2 -3.90799e-14
3 -3.37508e-14
140 3
1 -4.70735e-14
2 -8.34888e-14
3 -6.39488e-14
142 3
1 -4.88498e-15
2 -5.32907e-14
3 -1.10134e-13
144 3
1 -2.39808e-14
2 -4.44089e-14
3 -3.19744e-14
146 3
1 1.19904e-14
2 -8.88178e-15
3 -6.03961e-14
148 3
1 2.4869e-14
2 -6.03961e-14
3 -6.21725e-14
150 3
1 -2.30926e-14
2 -3.55271e-14
3 -7.4607e-14
152 3
1 -2.66454e-15
2 -5.24025e-14
3 -1.59872e-14
154 3
1 -3.86358e-14
2 -7.81597e-14
3 -1.95399e-14
156 3
1 -2.35367e-14
2 -5.15143e-14
3 -7.81597e-14
158 3
1 -1.46549e-14
2 -2.66454e-14
3 3.55271e-15
160 3
1 -2.66454e-14
2 -3.37508e-14
3 -1.42109e-14
162 3
1 -1.90958e-14
2 1.59872e-14
3 -7.10543e-15
164 3
1 -8.88178e-15
2 -4.61853e-14
3 -1.59872e-14
166 3
1 -4.88498e-15
2 -5.32907e-15
3 -3.90799e-14
168 3
1 -3.9968e-15
2 -3.73035e-14
3 -4.26326e-14
170 3
1 3.10862e-15
2 -4.44089e-14
3 -6.21725e-14
172 3
1 -3.4639e-14
2 7.10543e-15
3 -5.86198e-14
174 3
1 -2.4869e-14
2 -4.08562e-14
3 -3.19744e-14
176 3
1 -8.88178e-15
2 -3.10862e-14
3 -2.30926e-14
178 3
1 5.32907e-15
2 -6.92779e-14
3 -2.13163e-14
180 3
1 -3.77476e-14
2 -3.01981e-14
3 -5.32907e-14
182 3
1 -2.88658e-14
2 -3.55271e-14
3 -4.79616e-14
184 3
1 1.42109e-14
2 -1.95399e-14
3 -6.75016e-14
186 3
1 -3.86358e-14
2 -1.59872e-14
3 -5.68434e-14
188 3
1 -1.15463e-14
2 -1.86517e-14
3 -2.84217e-14
190 3
1 -1.68754e-14
2 -3.90799e-14
3 -2.84217e-14
192 3
1 -2.66454e-14
2 -6.03961e-14
3 -5.15143e-14
194 3
1 -3.37508e-14
2 -5.15143e-14
3 -1.42109e-14
196 3
1 -2.22045e-14
2 -2.4869e-14
3 -3.73035e-14
198 3
1 -8.88178e-15
2 -2.4869e-14
3 -1.06581e-14
200 3
1 -1.82077e-14
2 -3.55271e-15
3 -4.61853e-14
202 3
1 -1.06581e-14
2 -4.26326e-14
3 1.06581e-14
204 3
1 -1.59872e-14
2 -3.55271e-14
3 -3.73035e-14
206 3
1 -2.57572e-14
2 -4.61853e-14
3 -3.55271e-15
208 3
1 -3.73035e-14
2 -8.34888e-14
3 -5.50671e-14
210 3
1 -2.39808e-14
2 -4.79616e-14
3 -6.39488e-14
212 3
1 -1.06581e-14
2 -1.24345e-14
3 -2.13163e-14
214 3
1 -5.32907e-15
2 -2.84217e-14
3 -2.30926e-14
216 3
1 -3.28626e-14
2 -6.92779e-14
3 7.10543e-15
218 3
1 -5.32907e-14
2 -6.21725e-14
3 -4.08562e-14
220 3
1 -4.44089e-14
2 -8.88178e-15
3 -7.10543e-14
222 3
1 -6.4837e-14
2 -8.17124e-14
3 -8.88178e-15
224 3
1 6.21725e-15
2 -5.06262e-14
3 -7.10543e-14
226 3
1 -3.28626e-14
2 -2.04281e-14
3 -2.4869e-14
228 3
1 -5.15143e-14
2 -7.37188e-14
3 -7.99361e-14
230 3
1 -5.06262e-14
2 -3.01981e-14
3 -1.06581e-14
232 3
1 -5.50671e-14
2 -5.68434e-14
3 -4.26326e-14
234 3
1 -3.19744e-14
2 -1.42109e-14
3 -3.37508e-14
236 3
1 -3.55271e-15
2 -6.92779e-14
3 0
238 3
1 -5.15143e-14
2 -3.19744e-14
3 -1.59872e-14
240 3
1 -3.01981e-14
2 -5.32907e-14
3 -1.24345e-14
242 3
1 -2.75335e-14
2 -3.37508e-14
3 -2.30926e-14
244 3
1 -1.15463e-14
2 -2.84217e-14
3 -2.84217e-14
246 3
1 -3.9968e-14
2 -6.66134e-14
3 1.77636e-15
248 3
1 -5.24025e-14
2 -4.35207e-14
3 -3.55271e-15
250 3
1 -3.90799e-14
2 -1.15463e-14
3 -1.77636e-14
252 3
1 -2.75335e-14
2 -4.79616e-14
3 0
254 3
1 -3.90799e-14
2 -6.21725e-14
3 -7.63833e-14
256 3
1 -1.42109e-14
2 -5.9508e-14
3 -1.95399e-14
258 3
1 4.44089e-15
2 -3.37508e-14
3 -5.15143e-14
260 3
1 -1.5099e-14
2 -2.13163e-14
3 -4.9738e-14
262 3
1 -1.59872e-14
2 -7.28306e-14
3 -2.13163e-14
264 3
1 -4.61853e-14
2 -4.26326e-14
3 -1.42109e-14
266 3
1 -2.04281e-14
2 -6.21725e-14
3 -2.66454e-14
268 3
1 -4.08562e-14
2 -6.03961e-14
3 3.19744e-14
270 3
1 -7.10543e-15
2 -6.03961e-14
3 -1.77636e-14
272 3
1 -1.5099e-14
2 -8.52651e-14
3 -2.4869e-14
274 3
1 5.32907e-15
2 -3.73035e-14
3 -2.66454e-14
276 3
1 -2.66454e-14
2 -8.70415e-14
3 -3.73035e-14
278 3
1 -4.70735e-14
2 -3.01981e-14
3 -8.88178e-15
280 3
1 -1.77636e-14
2 -5.32907e-15
3 -5.32907e-15
282 3
1 -2.4869e-14
2 -7.63833e-14
3 -1.06581e-14
284 3
1 1.5099e-14
2 -6.57252e-14
3 -6.21725e-14
286 3
1 -2.30926e-14
2 -4.61853e-14
3 -1.59872e-14
288 3
1 -2.13163e-14
2 -2.39808e-14
3 -8.52651e-14
290 3
1 -3.9968e-14
2 -2.4869e-14
3 -2.4869e-14
292 3
1 -3.37508e-14
2 -2.66454e-14
3 0
294 3
1 -2.57572e-14
2 -7.4607e-14
3 -2.30926e-14
296 3
1 -2.84217e-14
2 -1.04805e-13
3 -1.42109e-14
298 3
1 -5.77316e-14
2 -4.79616e-14
3 -6.21725e-14
300 3
1 -3.9968e-14
2 -5.50671e-14
3 -4.44089e-14
302 3
1 -3.19744e-14
2 -4.52971e-14
3 -5.50671e-14
304 3
1 -1.42109e-14
2 -2.57572e-14
3 -3.19744e-14
306 3
1 1.42109e-14
2 -1.3145e-13
3 -5.32907e-15
308 3
1 -3.73035e-14
2 -6.21725e-14
3 -3.19744e-14
310 3
1 -3.68594e-14
2 -8.52651e-14
3 4.61853e-14
312 3
1 2.08722e-14
2 -4.9738e-14
3 3.73035e-14
314 3
1 -2.93099e-14
2 -6.92779e-14
3 -6.21725e-14
316 3
1 9.76996e-15
2 -9.59233e-14
3 -1.95399e-14
318 3
1 -4.79616e-14
2 -4.17444e-14
3 -1.95399e-14
320 3
1 -5.24025e-14
2 -7.63833e-14
3 1.42109e-14
322 3
1 -2.66454e-15
2 -9.14824e-14
3 -3.19744e-14
324 3
1 5.32907e-15
2 -4.9738e-14
3 -4.79616e-14
326 3
1 -2.93099e-14
2 -9.9476e-14
3 -1.77636e-15
328 3
1 -1.42109e-14
2 -8.52651e-14
