# Time-averaged data for fix write_all_momentum
# TimeStep Number-of-rows
# Row c_all_momentum[*]
0 3
1 -2.842170943040401e-14
2 -1.687538997430238e-14
3 -6.661338147750939e-15
20 3
1 -1.145709305205855e-09
2 6.950662267968255e-10
3 -1.423117179655264e-09
40 3
1 2.692206990673185e-08
2 -2.141665156329964e-08
3 4.142425691355811e-08
60 3
1 1.656232608837627e-07
2 -1.71097088497163e-07
3 3.05601802086386e-07
80 3
1 4.818458076982779e-07
2 -6.489127404307737e-07
3  8.9859820695537e-07
100 3
1 1.77067298068323e-06
2 -2.051869905095316e-06
3 2.22350461553944e-06
120 3
1 7.092031687250255e-06
2 -6.176904463472965e-06
3 7.272190684304292e-06
140 3
1 2.119583609960785e-05
2 -1.40881421630823e-05
3 2.039972647960298e-05
160 3
1 4.643108149160469e-05
2 -2.618776131502187e-05
3 4.244580064538539e-05
180 3
1 8.482030384726613e-05
2 -4.210300811635648e-05
3 7.552154868140093e-05
200 3
1 0.000139115465433548
2 -5.800749726958543e-05
3 0.000123023746525508
220 3
1 0.0002148485174089387
2 -6.814318426595634e-05
3 0.0001877267988903419
240 3
1 0.0003213344542913887
2 -6.88849247421075e-05
3 0.0002711243879649494
260 3
1 0.0004471814426558751
2 -5.73974681419287e-05
3 0.0003660845194892737
280 3
1 0.0005699755033603537
2 -4.197253525362044e-05
3 0.0004585528741380962
300 3
1 0.0006777978865173395
2 -2.522152608541717e-05
3 0.0005381771476229424
320 3
1 0.0007627333305162409
2 -7.637249014535996e-06
3 0.0005957090925678976
340 3
1 0.0008118378793895431
2 8.978816602223105e-06
3 0.0006265885917056124
360 3
1 0.0008207667114987771
2 1.347347345515004e-05
3 0.0006320005435993536
380 3
1 0.0007897885869638799
2 -9.450523780429876e-06
3 0.0006134562394808363
400 3
1 0.0007195454990629457
2 -6.191699910562676e-05
3 0.0005756169609050232
420 3
1 0.000615494946135442
2 -0.00014216487094032
3 0.0005258926001916464
440 3
1 0.0004791488804727351
2 -0.0002522735627801254
3 0.0004757315160901499
460 3
1 0.0002905533197381516
2 -0.0003948613928059785
3 0.0004471718388723289
480 3
1 4.681566875319731e-05
2 -0.0005635269538135645
3   0.0004450434474359
500 3
1 -0.0002108765695680859
2 -0.0007216993216747625
3 0.0004579477415909139
520 3
1 -0.0004474414542627869
2 -0.0008464904279250618
3 0.000478161749427386
540 3
1 -0.000632170938418497
2 -0.0009235060895518288
3 0.0005038845201612574
560 3
1 -0.0007295909049247484
2 -0.0009526168447102634
