# Time-averaged data for fix write_all_momentum
# TimeStep Number-of-rows
# Row c_all_momentum[*]
0 3
1 -4.440892098500626e-15
2 -1.598721155460225e-14
3 -1.465494392505207e-14
20 3
1 8.385781846698137e-09
2 4.944282316898807e-09
3 2.228590911812489e-08
40 3
1 3.490614819412485e-08
2 7.31558786881692e-08
3 1.923042076690251e-07
60 3
1 -1.107177460824005e-09
2 2.445222113678369e-07
3 4.77442918089821e-07
80 3
1 -1.650453960166942e-07
2 5.634182516089936e-07
3 9.284073385629199e-07
100 3
1 -7.847447136555274e-07
2 1.384931376691156e-06
3 1.919105033110213e-06
120 3
1 -2.108926304700276e-06
2 3.719921830125372e-06
3 3.769721956814465e-06
140 3
1 -4.284169147439343e-06
2 8.558650545609225e-06
3 6.67442745250213e-06
160 3
1 -7.524850783369175e-06
2 1.708702135339024e-05
3 1.062957826292177e-05
180 3
1 -1.176362431820621e-05
2  3.1890755712638e-05
3 1.496703828962609e-05
200 3
1 -1.746348389808361e-05
2 5.427397890578334e-05
3 1.880200853854319e-05
220 3
1 -2.535461169728137e-05
2 8.10279696583649e-05
3 2.21678290799332e-05
240 3
1 -3.425115006550072e-05
2 0.0001078097528868227
3 2.496801863038911e-05
260 3
1 -4.218269402755936e-05
2 0.0001297177400170213
3 2.580071309132848e-05
280 3
1 -4.638925297051344e-05
2 0.0001409034564536782
3 2.533877322896672e-05
300 3
1 -4.386778661036317e-05
2 0.0001350623870495227
3 2.606905881208377e-05
320 3
1 -3.037844319564442e-05
2 0.0001083381246598236
3 3.073314611423683e-05
340 3
1 5.29672995241981e-07
2 5.848055010115871e-05
3 4.522996989386741e-05
360 3
1 5.472966381248057e-05
2 -1.684485154385129e-05
3 7.701794638315107e-05
380 3
1 0.0001312794050729593
2 -0.0001157188186429181
3 0.0001283095957829161
400 3
1 0.000229521487145945
2 -0.0002320492460796686
3 0.0002010219323631546
420 3
1 0.0003562200999693843
2 -0.0003592409987529521
3 0.000300460466138297
440 3
1 0.0005144581688272254
2 -0.0004917971156306322
3 0.000428690961146394
460 3
1 0.000685050641882512
2 -0.0006221333366589477
3 0.0005689384775218187
480 3
1 0.0008510017778506906
2 -0.0007412535456143843
3 0.0007094295938454565
500 3
1 0.001000274177806126
2 -0.0008417300012082407
3 0.000838735386562206
520 3
1  0.00112038640040879
2 -0.0009152107986762914
3 0.0009426664831995168
540 3
1 0.001186867792005053
2 -0.0009538702565317081
3 0.0009990074678611904
560 3
1 0.001178649847206614
2 -0.0009492801056980582
3 0.0009922271702325069
580 3
1 0.001077139278906181
2 -0.0008955084228761123
3 0.0009101680497840547
600 3
1 0.0008565302998766455
2 -0.0007978739420089198
3 0.0007446773012689256
620 3
1 0.0005072885947638994
2 -0.0006625171405900687
3 0.0004958382888808899
640 3
1 3.668127210243455e-05
2 -0.0004998487848606459
3 0.0001667464709984579
660 3
1 -0.0005489065301009788
2 -0.0003360291734422205
3 -0.0002303439496396109
680 3
1 -0.001243550127676407
2 -0.0002153468798686831
3 -0.0006611707985286763
700 3
1 -0.002000319964823305
2 -0.0001427340139370514
3 -0.001097259130325767
720 3
1 -0.002734741774612637
2 -9.247219017360919e-05
3 -0.001511896927253176
740 3
1 -0.003342038107184919
2 -6.652654852068451e-05
3 -0.001854443537230743
760 3
1 -0.003717316183194264
2 -7.11445447354464e-05
3 -0.002064750558364636
780 3
1 -0.003759096584833976
2 -7.27902784527501e-05
3 -0.002088071785104617
800 3
1 -0.003373069692794495
2 -3.48370575142809e-05
3 -0.00188332300769023
820 3
1 -0.002501797303316344
2 7.214764861362966e-05
3 -0.001427475529127253
840 3
1 -0.001147506469935777
2 0.0003094126830234245
3 -0.0007413685234118894
860 3
1 0.0006509847807336655
2 0.0007100144032410327
3 0.0001143001834784663
880 3
1 0.002828632431355338
2  0.00123166970869093
3  0.00110835889692229
900 3
1 0.005232321723372735
2 0.001844636832150748
3 0.002144360383570021
920 3
1  0.00757025460914118
2 0.002542678015840849
3 0.003068827060040302
940 3
1 0.009575244285160878
2 0.003280556442009086
3 0.003791393604615223
960 3
1  0.01110566700433857
2  0.00394300943352377
3 0.004302108669628435
980 3
1  0.01209248177102307
2  0.00444405369553813
3 0.004605209914162245
1000 3
1  0.01250261360137284
2  0.00470379516804087
3 0.004718398122597556
1020 3
1  0.01238285627404689
2 0.004590539638840596
3  0.00469765695007851
1040 3
1  0.01179020367608974
2 0.003968378401669526
3 0.004654717376929352
1060 3
1  0.01074523133082295
2 0.002736625444791585
3 0.004721151070277152
1080 3
1 0.009432792731196571
2 0.0008301559347181353
3 0.005062264274583228
1100 3
1 0.008211811474781783
2 -0.001714310189180779
3 0.005791452467688529
1120 3
1 0.007335248073383482
2 -0.004541572970914842
3 0.006778599641013017
1140 3
1 0.006812240637238176
2 -0.007144170908800263
3 0.007806537156255899
1160 3
1 0.006613144008112748
2 -0.009173713513341397
3 0.008651240754639744
1180 3
1 0.006634411238267468
2 -0.01045393515108728
3 0.009183354296450119
1200 3
1 0.006670102368833142
2 -0.01085011402571112
3 0.009348070761590499
1220 3
1 0.006594519586103686
2 -0.01034314667742642
3 0.009120889420115574
1240 3
1 0.006364058901197289
2 -0.009014407301330962
3 0.008496152097149157
1260 3
1 0.005955337106795966
2 -0.00701446823556573
3 0.007526865371623614
1280 3
1 0.005308129923121463
2 -0.004610198798639331
3 0.006384722469912951
1300 3
1 0.004499795425345177
2 -0.002126459743428732
3 0.005235250052324503
1320 3
1 0.003695411896749157
2 3.505648934165606e-05
3 0.004258353056379782
1340 3
1 0.003020211716499688
2 0.001613436830838921
3 0.003594468399926054
1360 3
1 0.002575070471015906
2 0.002562666513451717
3 0.003240632979177427
1380 3
1 0.002364655310742592
2 0.002990047028655241
3 0.003088078589838172
1400 3
1 0.002331631842105608
2 0.003055683363216488
3 0.003064907102683367
1420 3
1 0.002411322552177353
2 0.002896159580989988
3 0.003117479803613765
1440 3
1 0.002556798144471628
2 0.002573685550615323
3 0.003211190140409048
1460 3
1 0.002761257545717655
2 0.002128826032640418
3 0.003335689675004971
1480 3
1 0.003015199693864545
2 0.001600562004867356
3  0.00347556702896501
1500 3
1 0.003301857932484609
2 0.001021120138821274
3 0.003606723636052411
1520 3
1  0.00362104735513924
2 0.0004137726084554316
3 0.003715984484542467
1540 3
1  0.00397259383618298
2 -0.0002070503696582904
3 0.003802868745856891
1560 3
1  0.00431918655552721
2 -0.0008037373460378916
3 0.003866942425326148
1580 3
1 0.004636955916344832
2 -0.001350090774032253
3 0.003909121630331747
1600 3
1  0.00490905176448031
2 -0.001821562652429165
3 0.003929443905973606
1620 3
1 0.005100825966087186
2 -0.002151554951179691
3 0.003947348867771705
1640 3
