# Time-averaged data for fix write_all_momentum
# TimeStep Number-of-rows
# Row c_all_momentum[*]
0 3
1 2.486899575160351e-14
2 -5.151434834260726e-14
3 -3.552713678800501e-14
2 3
1 -1.227462576025573e-12
2 3.659295089164516e-12
3 2.748024030552187e-12
4 3
1 -2.017941369558685e-11
2 6.24105211954884e-11
3 4.499511874200834e-11
6 3
1 -1.056754683759209e-10
2 3.324540642779539e-10
3 2.309619162588206e-10
8 3
1 -3.485460808860807e-10
2 1.10585851587075e-09
3 7.378879729458276e-10
10 3
1 -8.918004112956623e-10
2 2.836300083686183e-09
3 1.815743999600272e-09
12 3
1 -1.932320969899592e-09
2 6.159243781667101e-09
3 3.784276003671039e-09
14 3
1 -3.71490749273562e-09
2 1.19087602001855e-08
3 7.031552229364024e-09
16 3
1 -6.545327835283388e-09
2 2.111078778455067e-08
3 1.199947696761683e-08
18 3
1 -1.081700240490591e-08
2 3.494786326996291e-08
3 1.917543990259674e-08
20 3
1 -1.703545216003022e-08
2 5.471896713515889e-08
3 2.910192797855871e-08
22 3
1 -2.586010516836268e-08
2  8.1796050821481e-08
3 4.234449235696047e-08
24 3
1 -3.815203797330469e-08
2 1.175795159014115e-07
3 5.947998715782887e-08
26 3
1 -1.154196507258121e-07
2 3.266968846560303e-07
3 1.578151653802706e-07
28 3
1 -3.492498805712785e-07
2 9.217328340582753e-07
3 4.347865534271023e-07
30 3
1 -7.913590067687437e-07
2 1.978554591275383e-06
3 9.23437434963148e-07
32 3
1 -1.498647765885153e-06
2 3.579313881729718e-06
3 1.660432154437785e-06
34 3
1 -2.531580896913965e-06
2 5.815667991626583e-06
3 2.684127565544259e-06
36 3
1 -3.955105611908039e-06
2 8.788646288948598e-06
3 4.031607071297572e-06
38 3
1 -5.83949455190691e-06
2 1.260512895839838e-05
3 5.737267901650966e-06
40 3
1 -8.258008522332716e-06
2  1.7375333925429e-05
3 7.833973754145518e-06
42 3
1 -1.128202507949538e-05
2 2.321214955713913e-05
3 1.035761408196834e-05
44 3
1 -1.498199858396276e-05
2 3.022835663912815e-05
3 1.335150125925111e-05
46 3
1 -1.943449472463499e-05
2 3.853655111285548e-05
3 1.686799380351545e-05
48 3
1 -2.472346240622869e-05
2 4.825294377752698e-05
3 2.096736771584062e-05
50 3
1 -3.093951875854373e-05
2 5.950181937564025e-05
3 2.571872512291407e-05
52 3
1 -3.818542149858217e-05
2 7.242427329146039e-05
3 3.120699522440873e-05
54 3
1 -4.657973727795195e-05
2 8.718609271340938e-05
3 3.75304837447743e-05
56 3
1 -5.625575388279458e-05
2 0.0001039789042085459
3 4.479435100535056e-05
58 3
1 -6.735706135785335e-05
2 0.0001230131533436207
3 5.311942455143992e-05
60 3
1 -8.003109074650183e-05
2 0.0001445066359426761
3 6.264713831427571e-05
62 3
1 -9.441542072607945e-05
2 0.0001686787554788793
3 7.353052246195091e-05
64 3
1 -0.0001106303909637063
2 0.0001957545303916675
3 8.591833604043586e-05
66 3
1 -0.0001287771212279409
2 0.0002259743988783924
3 9.994599969687101e-05
68 3
1 -0.0001489366871165743
2 0.0002595974901886677
3 0.0001157315355175825
70 3
1 -0.0001711745550423416
2 0.0002968983386306689
3 0.0001333670508394391
72 3
1 -0.0001955535432465183
2 0.0003381530739936522
3 0.0001529178527093222
74 3
1 -0.000222168091829289
2 0.0003836267777383995
3 0.0001744329088388952
76 3
1 -0.0002511744671966909
2 0.0004335708302125596
3 0.0001979656450430411
78 3
1 -0.0002827832971394884
2 0.0004882166814930144
3 0.0002235814970532601
80 3
1 -0.0003172289799646677
2 0.0005477751752032134
3 0.0002513422628389606
82 3
1 -0.0003547435976845037
2 0.0006124331859638232
3 0.0002812859989589356
84 3
1 -0.0003955440996712412
2 0.0006823610615693809
3 0.0003134124671824168
86 3
1 -0.0004398264918314965
2 0.0007577386871542302
3 0.0003476937313457995
88 3
1 -0.0004877748598612897
2 0.0008387436557288908
3 0.0003841149935563948
90 3
1 -0.0005395955376492623
2 0.0009254859292884277
3 0.0004227124162969886
92 3
1 -0.0005954973561674848
2   0.0010179896916096
3 0.0004635849818317439
94 3
1 -0.0006556371708494879
2  0.00111622217441365
3 0.000506881432007944
96 3
1 -0.0007201352598276145
2 0.001220134366153758
3 0.000552758462127656
98 3
1 -0.0007891059115294752
2 0.001329684881504534
3 0.0006013265639595033
100 3
1 -0.0008626575986312446
2 0.001444842881582531
3 0.0006526254403933507
102 3
1 -0.0009408809475850433
2 0.001565584812361465
3 0.0007066217832907284
104 3
1 -0.001023826523613991
2 0.001691872432367347
3 0.0007632153481367254
106 3
1 -0.00111149000309041
2 0.001823624766910115
3 0.0008222747268398223
108 3
1 -0.001203830170345199
2 0.001960711527662085
3  0.00088368211829426
110 3
1 -0.001300822909975352
2 0.002102972019102367
3 0.0009473598503859648
112 3
1 -0.001402471220082191
2 0.002250239820460465
3 0.001013288123157707
114 3
1 -0.001508779379657099
2 0.002402338688602512
3 0.001081507431255346
116 3
1 -0.001619763135408903
2  0.00255905324832284
3 0.001152085255990087
118 3
1 -0.001735457007043806
2 0.002720122505058598
3 0.001225070851550214
120 3
1 -0.001855868134862604
2 0.002885266101280592
3 0.001300483201340796
122 3
1 -0.001980934393486677
2 0.003054195574994978
3 0.001378325723132789
124 3
1 -0.002110525132067664
2 0.003226607096474154
3 0.001458617005736684
126 3
1 -0.002244480145300543
2 0.003402172006534698
3 0.001541396319078459
128 3
1 -0.002382647341580224
2 0.003580531163198231
3 0.001626690068238901
130 3
1 -0.00252490826178331
2 0.003761290999150901
3 0.001714461672477796
132 3
1 -0.002671170869678718
2 0.003944009674974325
3 0.001804572566445728
134 3
1 -0.00282130617051024
2 0.004128202083151677
3 0.001896781666818725
136 3
1 -0.002975103346392061
2 0.004313381945660666
3 0.001990772444507627
138 3
1 -0.003132264073997248
2 0.004499109944328339
3 0.002086188036294345
140 3
1 -0.003292416599078862
2  0.00468502328960696
3 0.002182670811636811
142 3
1 -0.003455140062561313
2 0.004870830604936316
3 0.002279879776468263
144 3
1 -0.003619979133427265
2 0.005056293140317081
3 0.002377506988281652
146 3
1 -0.003619979133420159
2 0.005056293140304646
3 0.002377506988301192
148 3
1 -0.003619979133404172
2 0.005056293140306423
3   0.0023775069882781
150 3
1 -0.003619979133407725
2 0.005056293140320633
3 0.002377506988292311
152 3
1 -0.003619979133418383
2 0.005056293140290435
3 0.002377506988310074
154 3
1 -0.003619979133420159
2 0.005056293140299317
3 0.002377506988288758
156 3
1 -0.003619979133404172
2 0.005056293140293988
3 0.002377506988272771
158 3
1 -0.003619979133409501
2 0.005056293140308199
3 0.002377506988263889
160 3
1 -0.003619979133407725
2 0.005056293140292212
3 0.002377506988276323
162 3
1 -0.003619979133382856
2 0.005056293140285106
3 0.002377506988276323
164 3
1 -0.003619979133420159
2 0.005056293140304646
3 0.002377506988283429
166 3
1 -0.003619979133377527
2 0.005056293140306423
3 0.002377506988269218
168 3
1 -0.00361997913339529
2 0.005056293140317081
3   0.0023775069882781
170 3
1 -0.003619979133404172
2 0.005056293140301094
3 0.002377506988253231
172 3
1 -0.003619979133425488
2 0.005056293140290435
3 0.002377506988283429
174 3
1 -0.003619979133389961
2 0.005056293140290435
3 0.002377506988288758
176 3
1 -0.003619979133388185
2 0.005056293140299317
3 0.002377506988285205
178 3
1 -0.003619979133377527
2 0.005056293140306423
3 0.002377506988267442
180 3
1 -0.003619979133384632
2 0.005056293140290435
3 0.002377506988251454
182 3
1 -0.003619979133393514
2 0.005056293140267343
3 0.002377506988267442
184 3
1 -0.003619979133409501
2 0.005056293140318857
3 0.002377506988288758
186 3
1 -0.00361997913335621
2 0.005056293140315304
3 0.002377506988255007
188 3
1 -0.00361997913341483
2 0.005056293140304646
3 0.002377506988262112
190 3
1 -0.003619979133397067
2 0.005056293140309975
3   0.0023775069882781
192 3
1 -0.003619979133365092
2 0.005056293140306423
3 0.002377506988276323
194 3
1 -0.003619979133386408
2 0.005056293140297541
3 0.002377506988276323
196 3
1 -0.003619979133381079
2  0.00505629314032241
3 0.002377506988276323
198 3
1 -0.003619979133393514
2  0.00505629314032241
3 0.002377506988290534
200 3
1 -0.003619979133398843
2  0.00505629314030287
3 0.002377506988295863
202 3
1 -0.003619979133377527
2 0.005056293140313528
3 0.002377506988290534
204 3
1 -0.003619979133388185
2 0.005056293140306423
3 0.002377506988279876
206 3
1 -0.003619979133365092
2 0.005056293140313528
3 0.002377506988295863
208 3
1 -0.003619979133393514
2 0.005056293140320633
3 0.002377506988269218
210 3
1 -0.003619979133386408
2 0.005056293140278001
3 0.002377506988295863
212 3
1 -0.003619979133381079
2 0.005056293140320633
3 0.002377506988260336
214 3
1 -0.00361997913337575
2 0.005056293140345502
3 0.002377506988302969
216 3
1 -0.003619979133389961
2 0.005056293140331292
3 0.002377506988285205
218 3
1 -0.00361997913337575
2 0.005056293140320633
3 0.002377506988285205
220 3
1 -0.003619979133379303
2 0.005056293140309975
3 0.002377506988290534
222 3
1 -0.003619979133384632
2 0.005056293140327739
3 0.002377506988294087
224 3
1 -0.003619979133366868
2 0.005056293140304646
3 0.002377506988318956
226 3
1 -0.003619979133365092
2 0.005056293140340173
3 0.002377506988318956
228 3
1 -0.003619979133379303
2 0.005056293140331292
3 0.002377506988285205
230 3
1 -0.003619979133381079
2 0.005056293140313528
3 0.002377506988301192
232 3
1 -0.003619979133388185
2 0.005056293140329515
3 0.002377506988270994
234 3
1 -0.003619979133384632
2 0.005056293140306423
3 0.002377506988295863
236 3
1 -0.003619979133368645
2 0.005056293140325963
3 0.002377506988283429
238 3
1 -0.003619979133393514
2 0.005056293140304646
3 0.002377506988281652
240 3
1 -0.003619979133393514
2 0.005056293140334844
3 0.002377506988272771
242 3
1 -0.003619979133372198
2  0.00505629314030287
3 0.002377506988279876
244 3
1 -0.003619979133402396
2 0.005056293140293988
3 0.002377506988308298
246 3
1 -0.003619979133386408
2 0.005056293140317081
3 0.002377506988336719
248 3
1 -0.003619979133381079
2 0.005056293140313528
3 0.002377506988310074
250 3
1 -0.003619979133377527
2 0.005056293140299317
3 0.002377506988270994
252 3
1 -0.003619979133379303
2 0.005056293140338397
3 0.002377506988306521
254 3
1 -0.003619979133381079
2 0.005056293140324186
3 0.002377506988286981
256 3
1 -0.003619979133373974
2 0.005056293140315304
3 0.002377506988299416
258 3
1 -0.003619979133391737
2 0.005056293140345502
3 0.002377506988281652
260 3
1 -0.003619979133386408
2 0.005056293140306423
3 0.002377506988327838
262 3
1 -0.003619979133347329
2 0.005056293140320633
3 0.002377506988279876
264 3
1 -0.003619979133341999
2 0.005056293140336621
3 0.002377506988290534
266 3
1 -0.00361997913337575
2 0.005056293140336621
3 0.002377506988308298
268 3
1 -0.003619979133347329
2 0.005056293140324186
3 0.002377506988256783
270 3
1 -0.003619979133368645
2 0.005056293140299317
3 0.002377506988286981
272 3
1 -0.003619979133377527
2 0.005056293140306423
3 0.002377506988285205
274 3
1 -0.003619979133352658
2 0.005056293140325963
3 0.002377506988295863
276 3
1 -0.003619979133363316
2 0.005056293140336621
3 0.002377506988308298
278 3
1 -0.003619979133354434
2 0.005056293140334844
3 0.002377506988302969
280 3
1 -0.003619979133370421
2 0.005056293140325963
3 0.002377506988301192
282 3
1 -0.003619979133389961
2 0.005056293140299317
3 0.002377506988285205
284 3
1 -0.003619979133370421
2 0.005056293140295764
3 0.002377506988270994
286 3
1 -0.003619979133354434
2 0.005056293140331292
3 0.002377506988288758
288 3
1 -0.00361997913337575
2 0.005056293140293988
3 0.002377506988279876
290 3
1 -0.00361997913337575
2 0.005056293140327739
3 0.002377506988295863
292 3
1 -0.003619979133347329
2 0.005056293140343726
3 0.002377506988304745
294 3
1 -0.003619979133377527
2 0.005056293140299317
3 0.002377506988276323
296 3
1 -0.003619979133343776
2 0.005056293140338397
3 0.002377506988270994
298 3
1 -0.003619979133382856
2 0.005056293140315304
3  0.00237750698829764
300 3
1 -0.003619979133347329
2 0.005056293140320633
3 0.002377506988265665
302 3
1 -0.003619979133359763
2 0.005056293140313528
3 0.002377506988286981
304 3
1 -0.003619979133370421
2 0.005056293140324186
3 0.002377506988267442
306 3
1 -0.003619979133368645
2 0.005056293140318857
3 0.002377506988253231
308 3
1 -0.003619979133384632
2 0.005056293140313528
3 0.002377506988313627
310 3
1 -0.003619979133368645
2  0.00505629314032241
3 0.002377506988295863
312 3
1 -0.003619979133347329
2 0.005056293140331292
3 0.002377506988306521
314 3
1 -0.003619979133359763
2 0.005056293140347279
3 0.002377506988302969
316 3
1 -0.003619979133368645
2 0.005056293140301094
3 0.002377506988279876
318 3
1 -0.003619979133357987
2  0.00505629314034195
3 0.002377506988285205
320 3
1 -0.003619979133363316
2 0.005056293140334844
3 0.002377506988265665
322 3
1 -0.003619979133388185
