# Time-averaged data for fix write_all_momentum
# TimeStep Number-of-rows
# Row c_all_momentum[*]
0 3
1 -2.042810365310288e-14
2  1.4210854715202e-14
3 2.131628207280301e-14
20 3
1 -6.409147879082866e-09
2 -5.922569101812769e-09
3 -2.043697655551568e-09
40 3
1 -1.05427125696167e-07
2 -8.707013243736128e-08
3 -4.74937404959519e-08
60 3
1 -5.088033345757026e-07
2 -3.961821448683622e-07
3 -2.767870661557481e-07
80 3
1 -1.628618047533337e-06
2 -1.170961624552547e-06
3 -1.050268926938713e-06
100 3
1 -3.942988683114379e-06
2 -2.637537042105009e-06
3 -2.783377095028072e-06
120 3
1 -8.231123935331652e-06
2 -5.031598277582816e-06
3 -6.096245573239401e-06
140 3
1 -1.530281673733924e-05
2 -8.472262914338557e-06
3 -1.196527068625386e-05
160 3
1 -2.641694375693504e-05
2 -1.170332513211747e-05
3 -2.150820695057121e-05
180 3
1 -4.270187892707611e-05
2 -1.273086264852452e-05
3 -3.544949018685628e-05
200 3
1 -6.488042336272315e-05
2 -1.103053144291266e-05
3 -5.481871210921696e-05
220 3
1 -9.174703988890087e-05
2 -4.070849065840321e-06
3 -7.898841853748451e-05
240 3
1 -0.0001192873620903256
2 1.273320073735817e-05
3 -0.0001048496604196814
260 3
1 -0.0001439126135709401
2 3.533031163804878e-05
3 -0.0001290265344300323
280 3
1 -0.0001635926116581032
2 5.833327309723302e-05
3 -0.0001488052473472834
300 3
1 -0.0001757513425806323
2 7.830358547167293e-05
3 -0.0001616428624409139
320 3
1 -0.0001801939740007086
2 9.016503844883061e-05
3 -0.0001670098715154111
340 3
1 -0.0001804033021048923
2 9.072675759647097e-05
3 -0.0001673245127946643
360 3
1 -0.0001786456204060372
2 7.82827125700436e-05
3 -0.0001658017912937737
380 3
1 -0.0001755041213504782
2 5.206012310488006e-05
3 -0.0001671254181925264
400 3
1 -0.0001697252906964763
2 1.264122911059928e-05
3 -0.0001748720596230768
420 3
1 -0.0001610582262010496
2 -3.594355846203712e-05
3 -0.0001900059471369175
440 3
1 -0.0001502801810522314
2 -8.892377683622499e-05
3 -0.0002130664918489344
460 3
1 -0.0001375330669279862
2 -0.0001426321048310086
3 -0.0002440749264875919
480 3
1 -0.0001208464128668041
2 -0.0001927083943815688
3 -0.0002817936740493465
500 3
1 -0.0001026661628804604
2 -0.0002358129025381572
3 -0.0003215230191582208
520 3
1 -8.63485918545237e-05
2 -0.0002699744152820927
3 -0.0003582701949698119
540 3
1 -7.610943888014532e-05
2 -0.0002918773093565363
3 -0.0003870114168718075
560 3
1 -7.351444573178156e-05
2 -0.0002983251279307098
3 -0.0003967107930415992
580 3
1 -7.758289855175349e-05
2 -0.0002850819288262585
3 -0.0003758504964714859
600 3
1 -8.757038266171691e-05
2 -0.0002464437228706373
3 -0.0003142173511818669
620 3
1 -0.0001045768834702088
2 -0.0001769817373240556
3 -0.0002016669755224854
640 3
1 -0.0001304178549741408
2 -6.931289792255768e-05
3 -3.680757405710722e-05
660 3
1 -0.0001687943061465802
2 7.731164069291196e-05
3 0.0001747603380328755
680 3
1 -0.0002290779223335093
2 0.0002647809300917459
3 0.0004261233572382395
700 3
1 -0.000315011608607918
2 0.0004936712900391882
3 0.0006987309214325776
720 3
1 -0.0004102352526107467
2 0.0007428342728665882
3 0.0009674882151049502
740 3
1 -0.000493338219867745
2 0.0009746913754682396
3 0.001205256377966535
760 3
1 -0.0005577866731698577
2 0.001158507824937871
3 0.001378068502555507
780 3
1 -0.0005909161126833595
2 0.001271095045133563
3 0.001467955343505523
800 3
1 -0.0005940597602851483
2 0.001283744331285419
3 0.001477538463102945
820 3
1 -0.0005850928674195899
2 0.001174820516483877
3   0.0014101371932842
840 3
1 -0.0006036606340238393
2 0.0009279304792482179
3 0.001284116834986193
860 3
1 -0.0006684646795083182
2 0.0005230546569201522
3 0.001109018000828854
