# Time-averaged data for fix write_all_momentum
# TimeStep Number-of-rows
# Row c_all_momentum[*]
0 3
1 -1.687538997430238e-14
2  1.4210854715202e-14
3 2.131628207280301e-14
20 3
1 -6.598802393398273e-09
2 -6.103407557134233e-09
3 -2.091771200696257e-09
40 3
1 -1.088584840047702e-07
2 -9.00043541918194e-08
3 -4.909513773299068e-08
60 3
1 -5.262110578385659e-07
2 -4.105208066818022e-07
3 -2.872481301707808e-07
80 3
1 -1.682550295534213e-06
2 -1.213427788471222e-06
3 -1.090163645578457e-06
100 3
1 -4.068148677482952e-06
2 -2.737367124083789e-06
3 -2.880344497135923e-06
120 3
1 -8.483971433825843e-06
2 -5.229308344567585e-06
3 -6.288403057830294e-06
140 3
1 -1.576585026974442e-05
2 -8.826489622748568e-06
3 -1.230323400314148e-05
160 3
1 -2.72198417441416e-05
2 -1.228389895402415e-05
3 -2.204942597749948e-05
180 3
1 -4.409615972189584e-05
2 -1.358601721790365e-05
3 -3.628369261488018e-05
200 3
1 -6.730855266390279e-05
2 -1.221795932160319e-05
3 -5.608622644004413e-05
220 3
1 -9.577386876280514e-05
2 -5.556469098166872e-06
3 -8.086301732301848e-05
240 3
1 -0.0001254175563536464
2 1.130605050292388e-05
3 -0.0001075953842679667
260 3
1 -0.0001523691859537379
2 3.444309842315363e-05
3 -0.0001328238393956127
280 3
1 -0.000174176286187766
2 5.827770982591574e-05
3 -0.0001536546651728088
300 3
1 -0.0001878450051950864
2 7.920589220233865e-05
3 -0.0001674896120853475
320 3
1 -0.0001929552361481512
2 9.182354672709891e-05
3 -0.0001736412562793888
340 3
1 -0.0001932176275039055
2 9.250662667881215e-05
3 -0.0001740223061563739
360 3
1 -0.0001910334474404252
2 7.926084341747242e-05
3 -0.0001715171770770851
380 3
1 -0.0001873346802065967
2 5.141116558071701e-05
3 -0.0001707169529270303
400 3
1 -0.000181446745959768
2 9.705603634557747e-06
3 -0.000175342638303988
420 3
1 -0.0001730117902631889
2 -4.197623394475158e-05
3 -0.0001866383607334043
440 3
1 -0.0001623748282852944
2 -9.82096473212124e-05
3 -0.0002053600978051406
460 3
1 -0.0001497967488282015
2 -0.0001544799089341353
3 -0.0002312514673086241
480 3
1 -0.0001333201651974036
2 -0.0002061724707687063
3 -0.000263591309708211
500 3
1 -0.0001151572861894934
2 -0.0002504483566152516
3 -0.0002988687629903453
520 3
1 -9.912238313170008e-05
2 -0.0002853337653903054
3 -0.0003325949903061343
540 3
1 -8.970301483302023e-05
2 -0.0003073846643353306
3 -0.0003602720137312332
560 3
1 -8.743483006057318e-05
2 -0.0003143608398836761
3 -0.000370774221280179
580 3
1 -8.987796318837837e-05
2 -0.0003035491125373824
3 -0.0003521430102111367
600 3
1 -9.41510063814377e-05
2 -0.0002720970119192145
3 -0.0002935468559170928
620 3
1 -9.430673202093232e-05
2 -0.0002180091751586843
