# Time-averaged data for fix write_all_momentum
# TimeStep Number-of-rows
# Row c_all_momentum[*]
0 3
1 2.664535259100376e-15
2 -1.06581410364015e-14
3 9.769962616701378e-15
20 3
1 6.566599344282054e-07
2 1.564251334684741e-06
3 4.714753210066647e-07
40 3
1 1.870149768379292e-06
2 5.197329747019808e-06
3 1.053326029065715e-06
60 3
1 -1.438331089165246e-05
2 -6.126273361317658e-05
3 -8.603715694555092e-06
80 3
1 -9.93416330592467e-05
2 -0.00036114970259149
3 -4.472017556622632e-05
100 3
1 -0.0003207300017464831
2 -0.001057403953851122
3 -0.0001046912767943553
120 3
1 -0.0008054247606494869
2 -0.002347686649315506
3 -0.0001615031266348765
140 3
1 -0.001750790129920965
2 -0.004456827555330278
3 -0.0001684933742751582
160 3
1 -0.003242937992090411
2 -0.007287810155339969
3 -4.745436271136327e-05
180 3
1 -0.005097240909882395
2 -0.01035026127494021
3 0.0002489544135446664
200 3
1 -0.007135753197593964
2 -0.01328413367750514
3 0.0005999540169288053
220 3
1 -0.009347766516103029
2 -0.01612039771152496
3 0.0009726198398558594
240 3
1 -0.01180044675983627
2 -0.01904362791143299
3 0.001465275488044426
260 3
1 -0.01455665313302568
2 -0.02220027421807025
3 0.002102260466364747
280 3
1 -0.01767006817886507
2 -0.02561180048642342
3 0.002769083868215283
300 3
1 -0.02101183819718955
2 -0.02913109314957474
3 0.003424926722960464
320 3
1  -0.0243298544294035
2 -0.03257236234066063
3 0.004128975697303972
340 3
1 -0.02754479666230303
2 -0.03582232843089272
3  0.00479190785240835
360 3
1 -0.03057109766339217
2 -0.03873792970640366
3 0.005269636681909162
380 3
1 -0.03332439914419538
2 -0.04127231840897849
3  0.00562037949130989
400 3
1 -0.03571849026054608
2 -0.04343400526894925
3 0.005919609934780468
420 3
1 -0.03781197502034228
2 -0.04519422000623408
3 0.006132206171511001
440 3
1 -0.03969562823771877
2 -0.04655338469592785
3 0.006255872084279801
460 3
1 -0.04140238998407764
2 -0.04760701592874916
3 0.006362074231434534
480 3
1 -0.04302252263275541
2 -0.04845691697349075
3 0.006495722631907341
500 3
1 -0.04464563856544856
2 -0.04916012241023537
3 0.006628831354014153
520 3
1 -0.04632055386428569
2 -0.04974553743330468
3 0.006748858896116872
540 3
1 -0.04806019117857652
2 -0.05029880727970237
3 0.006936162144794089
560 3
1 -0.04994605173171607
2 -0.05087083465377873
3 0.007237112235321419
580 3
1 -0.05205078380584949
2 -0.05157032268552619
3 0.007623610709245554
600 3
1 -0.05441550304558485
2 -0.05243742600779022
3 0.008117914987530561
620 3
1 -0.05714178493338284
2 -0.05350891252930268
3 0.008787414012565442
640 3
1 -0.06018068289167644
2 -0.05490782297137109
3 0.009588729323858125
660 3
1 -0.06326746635311409
2 -0.05663817518390601
3  0.01048153766621773
680 3
1 -0.06612071452336732
2 -0.05840898308501963
3  0.01136265312237272
700 3
1 -0.06854249827705239
2 -0.06003478231585113
3  0.01213266510050914
720 3
1 -0.07029116225108822
2 -0.06144115964865193
3  0.01277839697939465
740 3
1 -0.07129960937072077
2 -0.06238312894418385
3  0.01319479055649486
760 3
1 -0.07158871787166454
2 -0.06268244577936244
3  0.01332516447408594
780 3
1 -0.07113801693096367
2 -0.06219640273387661
3   0.0131677602384408
800 3
1  -0.0699044309319099
2 -0.06072235841473272
3  0.01273177809112802
820 3
1 -0.06789559374178733
2 -0.05814735431890838
3  0.01208961538129483
840 3
1 -0.06524078747619999
2 -0.05460596948401886
3  0.01136510585550443
860 3
1 -0.06226866556786215
2  -0.0504715363718482
3  0.01069207986220677
880 3
1 -0.05941896706055072
2 -0.04630141185375081
3  0.01010787745756891
900 3
1 -0.05709139734735613
2 -0.04269331772182383
3 0.009623787077654988
920 3
1  -0.0553991099960367
2 -0.03993633081785752
3 0.009254536384435852
940 3
1 -0.05426635069659014
2  -0.0379497432513336
3 0.009015571728531846
960 3
1 -0.05356539072738187
2 -0.03659173467783283
3 0.008871841521495671
980 3
1 -0.05318765325598962
2 -0.03573310475207769
3 0.008796883957037593
1000 3
1 -0.05305327404246896
2 -0.03527905091372396
3 0.008760145966333788
