# Time-averaged data for fix write_all_momentum
# TimeStep Number-of-rows
# Row c_all_momentum[*]
0 3
1 -1.77635683940025e-15
2 2.753353101070388e-14
3 7.105427357601002e-15
20 3
1 1.502437227074438e-06
2 -6.520461068859618e-07
3 4.457353952602716e-07
40 3
1 1.059523309177024e-05
2 -4.067188906553554e-06
3 3.220169240591986e-06
60 3
1 3.252883273852092e-05
2 -1.227192630981477e-05
3 9.275610459269501e-06
80 3
1 7.514479453529788e-05
2 -2.755363826878465e-05
3 2.064773180698865e-05
100 3
1 0.0001432460117909429
2 -5.068570972266428e-05
3 4.033678870563051e-05
120 3
1 0.0002249963979119585
2 -7.77743994841984e-05
3 6.604667105669648e-05
140 3
1 0.000311289239381729
2 -0.0001042028208235735
3   9.419074100947e-05
160 3
1 0.0004011302854216581
2 -0.000124711534667199
3 0.0001216989990133754
180 3
1 0.0004881692393396975
2 -0.0001385011366927813
3 0.0001454853516023036
200 3
1 0.0005614422173731981
2 -0.0001482278781290702
3 0.0001636597776961679
220 3
1 0.0006139060792067497
2 -0.0001516143972697392
3 0.0001751479290739155
240 3
1 0.0006387312318425487
2 -0.0001506718326877987
3 0.0001789257922144571
260 3
1 0.0006221987441907828
2 -0.0001535159109415929
3 0.0001776276710252489
280 3
1 0.0005468241188708589
2 -0.0001740603197237789
3 0.0001745186137203092
300 3
1 0.0003932709413581037
2 -0.0002318921315174194
3 0.0001749833772208831
320 3
1 0.0001428223386463756
2 -0.0003541043107526676
3 0.000183766438849986
340 3
1 -0.000215259277093871
2 -0.0005664334698973761
3 0.0002113831247836373
360 3
1 -0.0006812973220036156
2 -0.0008877292053952601
3 0.0002816803151315384
380 3
1 -0.001247363486368336
2 -0.001330347568223367
3 0.0004046293078161511
400 3
1 -0.001893082303856986
2 -0.001880531583055678
3 0.0005864032434779176
420 3
1 -0.002582075076350776
2 -0.002491997182157313
3 0.0008245859421087687
440 3
1 -0.00327594857075475
2 -0.003109295326717998
3 0.001111705352977665
460 3
1 -0.00392293364016183
2 -0.003692972023020324
3 0.001455375388568214
480 3
1 -0.004481144115017877
2 -0.004220714466100617
3 0.001846778090225598
500 3
1 -0.004951477251239567
2 -0.004678157780549697
3 0.002247689028022748
520 3
1 -0.005325481037324664
2 -0.005054341127275208
3 0.002629539359817912
540 3
1 -0.005596662455698009
2 -0.00533422431388697
3  0.00296547152204063
560 3
1 -0.005765247483795477
2 -0.005511343101230359
3 0.003210307639683663
580 3
1 -0.005833922524545621
2 -0.005584728323553279
3 0.003318904622922503
600 3
1 -0.00580100797240668
2 -0.005546670201674431
3 0.003258367045154031
620 3
1 -0.005672296030952317
2 -0.005382749528561881
3 0.002980598835316428
640 3
1 -0.005451709897452695
2 -0.005077986142110191
3 0.002451648755913638
660 3
1 -0.005145646662232828
2 -0.004609012210508467
3 0.001637756669721213
680 3
1 -0.004792535596777725
2 -0.003958018890941162
3 0.0005126818364615815
700 3
1 -0.004431211127620571
2 -0.00313613284061276
3 -0.0009234004198006573
720 3
1 -0.004077691227626801
2 -0.002160157930350515
3 -0.002618878267609759
740 3
1 -0.003785790905013187
2 -0.001052409639759944
3 -0.004474457701835632
760 3
1 -0.003607213295055089
2 0.0001215348824530338
3 -0.006376893494078217
780 3
1 -0.003526733924717362
2  0.00128955526714325
3 -0.008194158542076835
800 3
1 -0.003518149671474902
2 0.002355013500444869
3 -0.009799104091106514
820 3
1 -0.00356014874601307
2 0.003213576926499151
3 -0.01107592604557439
840 3
1 -0.003634910993701723
2 0.003777025500786735
3  -0.0119224131068929
860 3
1 -0.003683994989097883
2 0.004003617031687945
3 -0.01227486090651375
880 3
1 -0.003664293842625455
2 0.003878212031312778
3 -0.01211177354904613
900 3
1 -0.003567260395715977
2 0.003412034716161472
3 -0.01147528096195849
920 3
1 -0.003426515957334786
2 0.002619664199738914
3 -0.01046704099592333
940 3
1 -0.003292548850268417
2 0.001564207880714541
3 -0.009189161620042796
960 3
1 -0.003183333574053648
2 0.0003659127904045434
3 -0.00777860204956049
980 3
1 -0.003111285839047184
2 -0.0008502872454441146
3 -0.006378116693731783
1000 3
1 -0.003060647193926513
2 -0.001950102430824607
3 -0.005120580344112113
