# Time-averaged data for fix write_all_momentum
# TimeStep Number-of-rows
# Row c_all_momentum[*]
0 3
1  1.4210854715202e-14
2 7.105427357601002e-15
3 8.881784197001252e-15
20 3
1 8.369056558876764e-10
2 5.122629431753012e-09
3 1.508874980515884e-08
40 3
1 -2.677308685861135e-08
2 4.279712229049437e-08
3 1.813031200725845e-07
60 3
1 -1.137981904264507e-07
2 1.164137302112067e-07
3 6.67297440415382e-07
80 3
1 -3.288407075530131e-07
2 2.255294688779941e-07
3 1.401186056071424e-06
100 3
1 -5.527635362767569e-07
2 4.295484536953609e-07
3 2.187319571689272e-06
120 3
1 -4.758717491171183e-07
2 9.045663560414141e-07
3 2.604466184052967e-06
140 3
1 1.884904605731208e-07
2 1.223157859442381e-06
3 2.498816716212104e-06
160 3
1 2.581677509994051e-06
2 1.016857353874911e-06
3 1.382454586362769e-06
180 3
1 7.126127361090084e-06
2 1.581616878354453e-06
3 -1.024499622914732e-06
200 3
1 1.229020127979652e-05
2 4.251097561080996e-06
3 -4.398451055820374e-06
220 3
1 1.71798959147651e-05
2 9.429263268856403e-06
3 -9.727079417487516e-06
240 3
1 1.949855128557942e-05
2 1.654776694692828e-05
3 -1.57003312342141e-05
260 3
1 1.922902993634068e-05
2 2.42507737766573e-05
3 -2.122662720260848e-05
280 3
1 1.784046925479288e-05
2 3.032871673980253e-05
3 -2.494780405015717e-05
300 3
1 1.734916972750966e-05
2 3.176715354769044e-05
3 -2.576193998926612e-05
320 3
1 2.094259368057294e-05
2 2.564266744897736e-05
3 -2.514996035607453e-05
340 3
1 3.103715024366238e-05
2 9.923109978160483e-06
3 -2.561224764185965e-05
360 3
1 4.893705236241885e-05
2 -1.563924002923045e-05
3 -2.525333431258048e-05
380 3
1 7.423359085834136e-05
2 -5.018334502082666e-05
3 -2.492936896913989e-05
400 3
1 9.937697947037805e-05
2 -9.068624264685354e-05
3 -3.094232102718308e-05
420 3
1 0.0001198146824208379
2 -0.0001342295930939486
3 -4.028848872117408e-05
440 3
1 0.0001321387308852451
2 -0.0001791204102268296
3 -5.134555233965443e-05
460 3
1 0.0001396561350137659
2 -0.0002180434320386837
3 -6.867157107848243e-05
480 3
1 0.0001499380181400056
2 -0.000246589344296666
3 -9.114542546129201e-05
500 3
1 0.0001636628242831506
2 -0.0002647636325576741
3 -0.000110973021685723
520 3
1 0.0001754502826063487
2 -0.0002726022013455065
3 -0.0001245776748639571
540 3
1 0.0001792714316337651
2 -0.0002735495103785013
3 -0.0001286147462629117
560 3
1 0.0001669327397664233
2 -0.0002759936063654322
3 -0.0001145336093610894
580 3
1 0.0001344757919241601
2 -0.0002881034700443763
3 -7.18235689305402e-05
600 3
1 7.989451540524328e-05
2 -0.0003178360417379622
3 1.47872232307833e-05
620 3
1 7.282181924139763e-06
2 -0.0003744235877505275
3 0.0001638288226999407
640 3
1 -7.792569169495778e-05
2 -0.0004603584801365912
3 0.0003766092518304731
660 3
1 -0.0001765395424779825
2 -0.0005672959956974921
3 0.0006286079002872924
680 3
1 -0.000277404753852295
2 -0.0006629280841501384
3 0.000894756184866452
700 3
1 -0.0003610784852803306
2 -0.0007249218718605732
3 0.001130502815556156
720 3
1 -0.0004167774234105082
2 -0.0007576153190669288
3    0.001317770159039
740 3
1 -0.0004501719406029281
2 -0.0007631554617972824
3   0.0014457335978868
760 3
1 -0.0004686280081696026
2 -0.0007537535109669591
3 0.001497193240764361
780 3
1 -0.0004659203766887998
2 -0.0007567324656356789
3 0.001493555116452328
800 3
1 -0.0004348001188265727
2 -0.0007942297108414209
3 0.001451649496498675
820 3
1 -0.0003530473219637287
2 -0.0009081735218856579
3 0.001371065157568907
840 3
1 -0.0002227191611439139
2 -0.001113518910305089
3 0.001255791743494328
860 3
1 -9.66165780287298e-05
2 -0.001396396734065775
3 0.001073382381157728
880 3
1 2.317524810280247e-05
2 -0.001732641505633126
3 0.0008288560874483153
900 3
1 0.0001174145399875925
2 -0.002061095395941237
3 0.0005168205867338571
920 3
1 0.0001309397200230933
2 -0.002293214143907818
3 0.0001073530741759754
940 3
1 0.0001015921743690029
2 -0.002472477989833521
3 -0.0003154217391649894
960 3
1 8.021456118534331e-05
2 -0.002605709192476269
3 -0.0006432643662712678
980 3
1 3.99315863841565e-05
2 -0.002664636726887437
3 -0.0008441116270505589
1000 3
1 3.796999229344067e-05
2 -0.002666935167162876
3 -0.0008529571088313759
1020 3
1 0.0001305275349885449
2 -0.002620745562321503
3 -0.0005756991385554855
1040 3
1 0.0003119786892167298
2 -0.00253429021044127
3 4.980796209608229e-05
1060 3
1  0.00054801461813625
2 -0.002459215030633288
3 0.001093176260932083
1080 3
1 0.0007372363480548927
2 -0.00242708070592812
3  0.00255241439672993
1100 3
1 0.0008449481553878258
2 -0.002414672570409948
3 0.004126653163615046
1120 3
1 0.0008784426896166764
2 -0.002414998461734541
3 0.005507421543397228
1140 3
1 0.0008332127890398056
2 -0.00243682629448827
3  0.00653974599607654
1160 3
1 0.000777154019841575
2 -0.002461662111969076
3  0.00715255892427713
1180 3
1 0.0007545332875711352
2 -0.002467994075878721
3 0.007330450205256689
1200 3
1 0.0007967939711761574
2 -0.002452997764748943
3 0.007124619468115156
1220 3
1 0.0009246901950810127
2 -0.002388468624381801
3 0.006590050880069143
1240 3
1 0.001120756198181638
2 -0.002280036741513669
3 0.005824591554325131
1260 3
1 0.001344023602189992
2 -0.002168931697489995
3 0.004969464044741301
1280 3
1 0.001619565249333377
2 -0.002093354161523564
3 0.004167980758566614
1300 3
1 0.001945174047008891
2 -0.002049745858105467
3 0.003513711075489923
1320 3
1 0.002231481364526999
2 -0.002010353981049207
3 0.003024669281157522
1340 3
1 0.002485459943446955
2 -0.001966421318755351
3 0.002685363561838017
1360 3
1 0.002699745167893397
2 -0.001924081819478118
3 0.002476902795462088
1380 3
1 0.002841055241340484
2 -0.001889757066656728
3 0.002372093088705896
1400 3
1 0.002891076525434855
2 -0.001875422770002189
3 0.002340306240274259
1420 3
1 0.002848087153953571
2 -0.001890882116274639
3 0.002358790519556564
1440 3
1 0.002700662905875006
2 -0.00195560326799793
3 0.002402107780856255
1460 3
1 0.002459463774027171
2 -0.002086131281178183
3 0.002449113111569368
1480 3
1 0.002141260787634991
2 -0.002284684803949943
3  0.00248853713877395
1500 3
1 0.001742287259940412
2 -0.00255153497334959
3 0.002521886151693131
1520 3
1 0.001256839232860685
2 -0.002876577738163633
3 0.002549001026717512
1540 3
1 0.0007096689202779061
2 -0.003227889670757378
3 0.002583402021954839
1560 3
1 0.0001337008969670705
2 -0.00357482638969131
3 0.002630483284026042
1580 3
1 -0.0004513176740541525
2 -0.003902219020158526
3 0.002678219207710164
1600 3
1 -0.001013627128449102
2 -0.004203296788386268
3 0.002709250449615119
1620 3
1 -0.001521950713236464
2 -0.004476097378784516
3 0.002734223745871844
1640 3
1 -0.001938190495193837
2 -0.004701566236406052
3  0.00275348856665758
1660 3
1 -0.002194966094537065
2 -0.00483703434908378
3 0.002755778188778812
1680 3
1 -0.002164434202590826
2 -0.004821776262904365
3 0.002759469274110415
1700 3
1 -0.001684655143671776
2 -0.004579848192975078
3 0.002810354066401288
1720 3
1 -0.0006404869813856351
2 -0.004054877893157283
3 0.002963536901487984
1740 3
1 0.0009613424759269407
2 -0.003231469736864057
3 0.003321572199697975
1760 3
1  0.00301643279392394
2 -0.002115784976794544
3 0.003880401395114141
1780 3
1 0.005309357005469195
2 -0.0007981422477314482
3 0.004554649754624052
1800 3
1 0.007564818346320834
2 0.0005747578686516874
3 0.005312415419931327
1820 3
1 0.009579849767916926
2  0.00186370500417965
3 0.006098690769635873
1840 3
1  0.01118775767634261
2 0.002886356454901318
3 0.006773089951649602
1860 3
1  0.01219464570149853
2 0.003525960170627229
3 0.007216316642507437
1880 3
1  0.01247288236029043
2 0.003705070366056162
3  0.00734622300676957
1900 3
1  0.01195942317767162
2 0.003372422836495303
3 0.007071594802211756
1920 3
1  0.01063047290548447
2 0.002527633256004691
3  0.00632602235979185
1940 3
1 0.008524987824060304
2 0.001178300969520762
3 0.005082839541075579
1960 3
1 0.005836556313706609
2 -0.0006036440296632861
3 0.003338170772713589
1980 3
1 0.002857999384625387
2 -0.002577459425086914
3 0.001218601460516666
2000 3
1 -0.0001194530272545791
2 -0.004546088479578714
3 -0.0009554138627088093
2020 3
1 -0.002772123270963434
2 -0.006276738573305352
3 -0.002901227405385676
2040 3
1 -0.004808340755099394
2 -0.007619039181822274
3 -0.004407075421298146
2060 3
1 -0.006107903261924008
2 -0.008496792865013703
3 -0.005343347662097209
2080 3
1 -0.006613316049582707
2 -0.008848216651248464
3 -0.005693196528514299
2100 3
1 -0.006314200178067608
2 -0.008624538565545237
3 -0.005493738491939126
2120 3
1 -0.005212213380078268
2 -0.007766433875747936
3 -0.004768548588114818
2140 3
1 -0.003289905150168693
2 -0.006231088925417794
