  k                             alpha,                   omega0,              gamma,               C,                           A,                            B1,                        B2:
  1.534650e-01, 9.439454e+00, 2.723792e+01, 1.370220e+00, 3.126587e-04, 3.848447e-03, 4.315763e-02, 3.504771e-03
  2.170330e-01, 1.767113e+01, 2.929354e+01, 1.999995e+00, 5.723933e-18, 1.471051e-02, 7.804931e-02, 1.420278e-02
  2.658100e-01, 2.123494e+01, 3.107135e+01, 3.026676e+00, 1.913866e-20, 2.694647e-02, 1.070061e-01, 2.883940e-02
  3.069310e-01, 2.471148e+01, 3.252034e+01, 4.109162e+00, 6.610314e-20, 4.071773e-02, 1.340789e-01, 4.788225e-02
  3.759120e-01, 3.061099e+01, 3.487124e+01, 6.511536e+00, 8.510565e-19, 6.682892e-02, 1.805300e-01, 9.237490e-02
  4.603960e-01, 3.555913e+01, 3.756263e+01, 9.842048e+00, 6.048758e-24, 1.092502e-01, 2.311100e-01, 1.639778e-01
  6.138610e-01, 4.455214e+01, 4.250764e+01, 1.706445e+01, 2.081007e-21, 2.162653e-01, 2.908801e-01, 3.434391e-01
  6.327540e-01, 4.288794e+01, 4.331817e+01, 1.767000e+01, 7.594552e-20, 2.411303e-01, 2.831783e-01, 3.542472e-01
  8.681310e-01, 7.463348e+01, 4.974707e+01, 2.831269e+01, 2.082188e-01, 1.884999e-01, 3.237566e-01, 4.670592e-01
  1.063239e+00, 8.115357e+01, 5.719469e+01, 3.735514e+01, 3.420512e-01, 2.438778e-01, 2.429841e-01, 5.047367e-01
  1.158638e+00, 1.229590e+02, 5.834541e+01, 3.976346e+01, 5.218877e-01, 8.112836e-02, 2.611059e-01, 3.489209e-01
  1.227723e+00, 1.197658e+02, 5.946294e+01, 4.469942e+01, 5.129853e-01, 1.172426e-01, 2.565382e-01, 4.289859e-01
  1.372636e+00, 2.020132e+02, 6.321245e+01, 4.544979e+01, 7.130092e-01, 1.890848e-02, 1.907222e-01, 1.975568e-01
  1.503647e+00, 2.013652e+02, 6.948718e+01, 5.286165e+01, 8.027889e-01, 1.787081e-02, 1.242952e-01, 1.463437e-01
  1.736262e+00, 2.004976e+02, 7.361039e+01, 6.473843e+01, 8.508076e-01, 2.210444e-02, 9.608155e-02, 1.447086e-01
  1.841584e+00, 4.134137e+02, 7.260848e+01, 6.547138e+01, 9.154258e-01, 1.567551e-03, 5.975292e-02, 6.280469e-02
  2.035948e+00, 1.091009e+02, 9.918425e+01, 8.918656e+01, 8.515496e-01, 1.547991e-01, -1.895997e-02, 1.532274e-01
  2.296859e+00, 1.015697e+02, 1.136555e+02, 1.014796e+02, 8.932731e-01, 1.210881e-01, -2.089741e-02, 8.955330e-02
